 Type          Component                                        URL                                                                           
 BSD-3-Clause  bitbucket.org/creachadair/shell                  https://bitbucket.org/barbarianlegend_af/shell-scanner/src/v0.0.9/LICENSE     
 MIT           github.com/AlecAivazis/survey/v2                 https://github.com/AlecAivazis/survey/blob/2363ef255e14/LICENSE               
 MIT           github.com/AlecAivazis/survey/v2/terminal        https://github.com/AlecAivazis/survey/blob/2363ef255e14/terminal/LICENSE.txt  
 MIT           github.com/acarl005/stripansi                    https://github.com/acarl005/stripansi/blob/5a71ef0e047d/LICENSE               
 BSD-3-Clause  github.com/atotto/clipboard                      https://github.com/atotto/clipboard/blob/v0.1.4/LICENSE                       
 MIT           github.com/aybabtme/uniplot/histogram            https://github.com/aybabtme/uniplot/blob/039c559e5e7e/LICENSE                 
 Apache-2.0    github.com/briandowns/spinner                    https://github.com/briandowns/spinner/blob/v1.22.0/LICENSE                    
 MIT           github.com/c-bata/go-prompt                      https://github.com/rbergman/go-prompt/blob/v0.12.3/LICENSE                    
 ISC           github.com/davecgh/go-spew/spew                  https://github.com/davecgh/go-spew/blob/v1.1.1/LICENSE                        
 MIT           github.com/fatih/color                           https://github.com/fatih/color/blob/v1.14.1/LICENSE.md                        
 BSD-3-Clause  github.com/google/uuid                           https://github.com/google/uuid/blob/v1.3.0/LICENSE                            
 MIT           github.com/jwalton/gchalk                        https://github.com/jwalton/gchalk/blob/v1.3.0/LICENSE                         
 MIT           github.com/jwalton/gchalk/pkg/ansistyles         https://github.com/jwalton/gchalk/blob/v1.3.0/pkg/ansistyles/LICENSE          
 MIT           github.com/jwalton/go-supportscolor              https://github.com/jwalton/go-supportscolor/blob/v1.1.0/LICENSE               
 MIT           github.com/jwalton/go-supportscolor/pkg/hasFlag  https://github.com/jwalton/go-supportscolor/blob/v1.1.0/pkg/hasFlag/LICENSE   
 MIT           github.com/kballard/go-shellquote                https://github.com/kballard/go-shellquote/blob/95032a82bc51/LICENSE           
 MIT           github.com/lithammer/fuzzysearch/fuzzy           https://github.com/lithammer/fuzzysearch/blob/v1.1.5/LICENSE                  
 Unlicense     github.com/logrusorgru/aurora                    https://github.com/logrusorgru/aurora/blob/v2.0.3/LICENSE                     
 BSD-2-Clause  github.com/magiconair/properties                 https://github.com/magiconair/properties/blob/v1.8.7/LICENSE.md               
 MIT           github.com/mattn/go-colorable                    https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE                    
 MIT           github.com/mattn/go-isatty                       https://github.com/mattn/go-isatty/blob/v0.0.17/LICENSE                       
 MIT           github.com/mattn/go-runewidth                    https://github.com/mattn/go-runewidth/blob/v0.0.14/LICENSE                    
 MIT           github.com/mgutz/ansi                            https://github.com/mgutz/ansi/blob/9520e82c474b/LICENSE                       
 BSD-2-Clause  github.com/pkg/term/termios                      https://github.com/pkg/term/blob/v1.2.0-beta.2/LICENSE                        
 MIT           github.com/rivo/uniseg                           https://github.com/rivo/uniseg/blob/v0.4.4/LICENSE.txt                        
 MIT           github.com/sirupsen/logrus                       https://github.com/sirupsen/logrus/blob/v1.9.0/LICENSE                        
 MIT           github.com/skratchdot/open-golang/open           https://github.com/skratchdot/open-golang/blob/eef842397966/LICENSE           
 MIT           github.com/ztrue/tracerr                         https://github.com/ztrue/tracerr/blob/v0.3.0/LICENSE                          
 BSD-3-Clause  golang.org/x/net/html                            https://cs.opensource.google/go/x/net/+/v0.7.0:LICENSE                        
 BSD-3-Clause  golang.org/x/sys/unix                            https://cs.opensource.google/go/x/sys/+/v0.5.0:LICENSE                        
 BSD-3-Clause  golang.org/x/term                                https://cs.opensource.google/go/x/term/+/v0.5.0:LICENSE                       
 BSD-3-Clause  golang.org/x/text                                https://cs.opensource.google/go/x/text/+/v0.7.0:LICENSE                       
 MIT           gopkg.in/yaml.v3                                 https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE                           
